2026-03-26 10:05:38,460 INFO    MainThread:5061 [wandb_setup.py:_flush():81] Current SDK version is 0.24.0
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_setup.py:_flush():81] Configure stats pid to 5061
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/jupyter/workspace/split_mope_github/wandb/run-20260326_100538-6az6us0y/logs/debug.log
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/jupyter/workspace/split_mope_github/wandb/run-20260326_100538-6az6us0y/logs/debug-internal.log
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_init.py:init():844] calling init triggers
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2026-03-26 10:05:38,461 INFO    MainThread:5061 [wandb_init.py:init():892] starting backend
2026-03-26 10:05:38,707 INFO    MainThread:5061 [wandb_init.py:init():895] sending inform_init request
2026-03-26 10:05:38,713 INFO    MainThread:5061 [wandb_init.py:init():903] backend started and connected
2026-03-26 10:05:38,716 INFO    MainThread:5061 [wandb_init.py:init():973] updated telemetry
2026-03-26 10:05:38,721 INFO    MainThread:5061 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-26 10:05:39,604 INFO    MainThread:5061 [wandb_init.py:init():1044] starting run threads in backend
2026-03-26 10:05:39,708 INFO    MainThread:5061 [wandb_run.py:_console_start():2529] atexit reg
2026-03-26 10:05:39,708 INFO    MainThread:5061 [wandb_run.py:_redirect():2377] redirect: wrap_raw
2026-03-26 10:05:39,708 INFO    MainThread:5061 [wandb_run.py:_redirect():2446] Wrapping output streams.
2026-03-26 10:05:39,708 INFO    MainThread:5061 [wandb_run.py:_redirect():2469] Redirects installed.
2026-03-26 10:05:39,712 INFO    MainThread:5061 [wandb_init.py:init():1084] run started, returning control to user process
2026-03-26 10:05:50,715 INFO    wandb-AsyncioManager-main:5061 [service_client.py:_forward_responses():80] Reached EOF.
2026-03-26 10:05:50,715 INFO    wandb-AsyncioManager-main:5061 [mailbox.py:close():137] Closing mailbox, abandoning 1 handles.
